"","location","scale","skewness","shape"
"T+185",0.000623582188550373,0.00144105856375676,1.36598593076757,4.64927567331582
"T+186",0.000708670047056331,0.00133670686048632,1.36459275050798,4.56646436366865
"T+187",0.00104324473628224,0.00124705608566484,1.3440904178101,4.52382835883184
"T+188",0.00131161532517884,0.00116799434490545,1.32475951277888,4.48727531554643
"T+189",-0.000127222965633656,0.00142499201688641,1.40002678292918,4.5952224146151
"T+190",0.000578734775551215,0.00141173847261296,1.37525860126622,4.63598090959038
"T+191",0.00074964788849462,0.00130639068955076,1.36750809385275,4.55888914991102
"T+192",0.000790923162304621,0.00122603019839411,1.36940378142935,4.50448337019479
"T+193",0.00112160689606053,0.00115012613848989,1.35172943607921,4.47469713876008
"T+194",0.00163228496512021,0.00110153226547875,1.31799520212556,4.4699912237644
"T+195",0.00247955312971158,0.0011408191209275,1.24750181664222,4.52975205050384
"T+196",0.000474459175163196,0.00246202605898345,0.820142931973309,4.91771784741653
"T+197",0.00049929311274991,0.00219740749827714,0.769113481606272,4.75581398547506
"T+198",0.000265142425828954,0.0019897214858407,0.886491711628393,4.68398100541469
"T+199",0.000119971818678756,0.00181249798632634,1.01150331760077,4.61447180114692
"T+200",0.000246310348221124,0.00166247989530987,0.945819391633331,4.55726037563614
"T+201",0.00021209274009579,0.00153327541122512,0.986751454246043,4.51445163903773
"T+202",0.00127529473964788,0.0019072438889742,0.753234305152805,4.71284142354169
"T+203",0.00183126812526806,0.00526555313145453,1.49965209255681,4.12596506792157
"T+204",0.00185325076792536,0.00433724182018955,1.49953451137647,4.15020065763037
"T+205",0.00185094700131056,0.00362126220843974,1.49938392111103,4.17331731749242
"T+206",0.00182714211258617,0.00308252393041709,1.49919316416872,4.19511310721196
"T+207",0.00180624400216006,0.00266383884252405,1.49895391053816,4.21536504582597
"T+208",0.00178584947482158,0.00233444326769877,1.49865687612795,4.23369785937295
"T+209",0.00132430674142183,0.00233973048649888,1.49829864639978,4.26515825596115
"T+210",0.00133450344309793,0.00207659655422817,1.49785545289109,4.27700330944907
"T+211",0.00145214246585864,0.00184795440779393,1.49731663548878,4.28834514338433
"T+212",0.000755410003657094,0.00197972881260498,1.4967071949152,4.32846099413231
"T+213",0.000962794315020164,0.00177057748687158,1.49594131452855,4.33305096561646
"T+214",0.00109036893469966,0.0015996289571682,1.49504471934001,4.33322231852187
"T+215",0.00125086302423291,0.00145665686308258,1.4939919403819,4.33403737925329
"T+216",0.000495799409124459,0.00155512497624449,1.492932921306,4.36694944383498
"T+217",0.000877593365934304,0.00143149640356083,1.49149924978021,4.37222661715508
"T+218",0.000894425901733894,0.0013336552018964,1.48997559792249,4.36400277957583
"T+219",0.000745998158868969,0.00127833759941732,1.48835977364851,4.36229173451839
"T+220",0.000898054581335511,0.0011904285341641,1.48638822167056,4.35582074446444
"T+221",0.000162637751222735,0.00125627915538784,1.48485227075848,4.37874075091921
"T+222",0.000800495312362764,0.00120379018397517,1.48208016861601,4.39832841760256
"T+223",0.00089222299555535,0.00113174658573078,1.47952931201566,4.38340600964521
"T+224",0.000980044653533072,0.0010700045044729,1.47677682438451,4.37216133505871
"T+225",-0.000163318366373623,0.00120364212194122,1.47582545756636,4.41278111762386
"T+226",0.000663875329698303,0.00119976363944648,1.47142079545891,4.45481736422772
"T+227",0.00085110388787254,0.00112290017143259,1.46781457464593,4.42623817059955
"T+228",2.76849836496665e-05,0.00120008657481888,1.4675888041217,4.44498928058941
"T+229",0.000748077938262812,0.00116793358196888,1.46188507752578,4.46599720292373
"T+230",0.000595318856562647,0.00113104695734825,1.45979074411649,4.4411336105359
"T+231",0.000716866899567783,0.00106873660572932,1.45596344664577,4.41594870093005
"T+232",0.000569308424736544,0.00104073958242182,1.45409678071656,4.40281316320209
"T+233",0.00091169212731619,0.000984859118410231,1.44851399690628,4.39104306009851
"T+234",0.0005973940574733,0.000979957182833599,1.44841486089776,4.38749598912658
"T+235",0.000701447763856997,0.000939613888396617,1.4446812095561,4.37619582842416
"T+236",0.00025099443660002,0.000952402739873704,1.44625406769184,4.37958600671958
"T+237",0.000823439202805575,0.000913431723716616,1.43846315051449,4.38065133052506
"T+238",5.09488819968355e-05,0.000960854039258077,1.44375503227345,4.3939438186349
"T+239",0.00090420193797379,0.000948190763766907,1.43346342018959,4.41559512857953
"T+240",-0.000661106037268575,0.00113204659560471,1.44439052965497,4.48052361403797
"T+241",0.000499658771490207,0.00127715010948013,1.43314480595286,4.61818185702889
"T+242",0.000730321196776468,0.00118901435536592,1.42670278369147,4.54520577299688
"T+243",0.000853375387037903,0.00111817991191897,1.42226344258367,4.49185991971266
"T+244",0.000161171013789063,0.00116625283041137,1.4334636316573,4.49219246939977
"T+245",0.000683059837176376,0.00110470297430799,1.4231217054805,4.47523177549254
"T+246",0.0004222229728358,0.00108696428891066,1.42745534368441,4.45311653643598
"T+247",0.000683375344976821,0.00102627674760989,1.42097003196881,4.42747758893633
"T+248",0.000143096029621078,0.0010482034891673,1.43003209504078,4.42707192742652
"T+249",0.000772541886426243,0.0010066484144669,1.41837499052099,4.42795566060219
"T+250",0.000366668806224222,0.00101092146087183,1.42583227401904,4.42099977172574
"T+251",0.000762086948343834,0.000960528176527843,1.41723375455402,4.40711938788235
"T+252",-0.000355589747287632,0.00106287172084313,1.43346513281179,4.4389796941887
"T+253",0.000706168057823111,0.00111630016113659,1.41898942783583,4.51049458291788
"T+254",0.00085385792714331,0.00105487332674673,1.41422667325497,4.46779991801119
"T+255",0.00200657014658211,0.00120971159227175,1.39409942303282,4.60780132346568
"T+256",-0.00025120935772167,0.00221832884843158,1.37100356900486,5.17807555590992
"T+257",0.000142556150065218,0.00205000627365003,1.33992602838187,5.07000549693083
"T+258",0.000419353829571519,0.00185431728508625,1.31033640057566,4.89162820810703
"T+259",0.000721775103364836,0.00169821514153669,1.26765865531182,4.7756803848419
"T+260",0.000878295871512615,0.00155259024054209,1.24436050823024,4.66312982555197
"T+261",0.000982307832626956,0.00143202525395808,1.2327629873968,4.58371261361502
"T+262",0.000897677655033817,0.00134662349297324,1.27602200181915,4.53070035937373
"T+263",0.00033400051667183,0.00136419933263449,1.37013024429451,4.52674879166154
"T+264",0.000848014843717613,0.00129332204742971,1.34093488135601,4.51790218924696
"T+265",0.000662643107317918,0.00124387767236759,1.36708353105085,4.48444599021546
"T+266",0.00096543351167436,0.00317591269866568,1.44542350525391,4.04243808581485
"T+267",0.00107746448445011,0.00272921653455275,1.43864039752488,4.05705630504205
"T+268",0.00124255097928996,0.00238545266874876,1.42987926769587,4.07466466698668
"T+269",0.00126342520771068,0.00211410276761736,1.42585739577556,4.09445244764536
"T+270",0.00125161665824272,0.00190326717447034,1.4234385874013,4.11622320048177
"T+271",0.00120427921329699,0.00173973827243589,1.4226929660282,4.13938597422733
"T+272",0.000616013241405661,0.00179297746822865,1.43580460879,4.16924674035044
"T+273",0.000856625806288685,0.00162060130643535,1.42778814727127,4.19302631391863
"T+274",0.000987588363757942,0.00147915692423668,1.42206073048024,4.21424645269716
"T+275",0.000776360436138866,0.00141768492643607,1.42654773477425,4.23662774400114
"T+276",0.000815972504701819,0.00132012086341421,1.4238681423127,4.25357017761812
"T+277",0.00093327817493761,0.00122943149656834,1.41923473922737,4.26817783611555
"T+278",0.000139985762961982,0.0013056459747793,1.43367078974792,4.30082022008633
"T+279",0.000657814241487292,0.00122893865685143,1.42270940746021,4.31971735388932
"T+280",0.000737788089040132,0.00115605317115653,1.41951913152224,4.32349056326244
"T+281",0.000543363024551204,0.00112458598223502,1.42337561766143,4.33122996263695
"T+282",0.00062694225587686,0.0010668746570128,1.42041695194676,4.33281890724078
"T+283",0.000742139598441772,0.00101449380859169,1.41678245240995,4.33401181838417
"T+284",0.000792096388522422,0.000972964201735069,1.41479932203564,4.33538692623334
"T+285",-0.000317079148783453,0.00107475058768954,1.43222044565959,4.37079728001587
"T+286",0.000694758586073277,0.00110972780319128,1.41747606009761,4.42736717804551
"T+287",0.000869960156874097,0.00104803423602785,1.4120801869065,4.40744716862469
"T+288",0.000125066896687758,0.00109862128957399,1.42736219861832,4.42093532726985
"T+289",0.000796466248375772,0.00105993225002046,1.41417184916196,4.43035941248026
"T+290",-0.000176900337153401,0.00115463927738912,1.43140988064917,4.45752667966907
"T+291",0.000648166987799534,0.0011473805887646,1.41727955952214,4.49136868497136
"T+292",0.000816379253089826,0.00108071909769928,1.41197551989249,4.45440737497359
"T+293",0.000135827577687885,0.00112374877533111,1.42672060344234,4.45866386510856
"T+294",0.000669965493211778,0.00106719651137809,1.41531104110802,4.44801622692926
"T+295",0.000388876191777544,0.00105426429014215,1.42168803266895,4.4329178265733
"T+296",0.000721614361830779,0.00099778394568729,1.41360082667135,4.41451027661187
"T+297",0.000502359944077007,0.000982456106969455,1.4185602693538,4.40420715031192
"T+298",0.00077153474107443,0.00093612570224353,1.4119007073291,4.39075195879915
"T+299",3.20150857287267e-05,0.000979696608706607,1.42610689589735,4.40251175774337
"T+300",0.000992376050435953,0.000989380751970734,1.41033851593257,4.44037918014753
"T+301",-0.000577877981613412,0.00119279636456506,1.43204731939715,4.51610593275532
"T+302",0.000472003553928335,0.00129661289316088,1.41718164403293,4.63462483418458
"T+303",0.000712492484880952,0.00120612324095195,1.40946203757694,4.55819398595876
"T+304",0.00072509116501157,0.00114307947312682,1.40901435057085,4.50311815501501
"T+305",0.00080401525067481,0.00108232256317939,1.40638758168764,4.46288877586323
"T+306",0.000384964810577624,0.00108500909598277,1.41829748524499,4.45059357985162
"T+307",0.00152834854737271,0.00123164282846313,1.39937241573802,4.58012870370921
"T+308",0.000862417051002212,0.00127059323870983,1.41985912438469,4.56433333447242
"T+309",0.00105484936463061,0.00118414610602757,1.41303813848816,4.50777975174344
"T+310",0.00143281400035515,0.00111485661657619,1.40071145746185,4.47998717773413
"T+311",-2.12215629119838e-05,0.00134095951888829,1.42745654062378,4.56539393292702
