"","location","scale"
"T+493",0.00113685505898138,3.49022699283232e-05
"T+494",0.00114134290625631,3.49022698271878e-05
"T+495",0.00114356540295242,3.49022697770358e-05
"T+496",0.00113208226993994,3.49022700931249e-05
"T+497",0.00112558038446922,3.49022702779499e-05
"T+498",0.00112457347600411,3.49022702933493e-05
"T+499",0.00112235485853437,3.49022703593593e-05
"T+500",0.00112175550571711,3.4902270374653e-05
"T+501",0.00112838802454346,3.49022701729604e-05
"T+502",0.00112427604158383,3.49022702986776e-05
