"","location","scale","shape"
"T+262",0.00062919141249109,4.86743487135702e-07,7.99999998851768
"T+263",0.000468090772635279,4.86743487135702e-07,7.99999998851768
"T+264",0.000550111853960293,4.86743487135702e-07,7.99999998851768
"T+265",0.000509982611315777,4.86743487135702e-07,7.99999998851768
"T+266",0.000906657517613157,4.86743487135702e-07,7.99999998851768
"T+267",0.000723422726157582,4.86743487135702e-07,7.99999998851768
"T+268",0.000835719022260103,4.86743487135702e-07,7.99999998851768
"T+269",0.000633775637999806,4.86743487135702e-07,7.99999998851768
"T+270",0.000639250159644011,4.86743487135702e-07,7.99999998851768
"T+271",0.000462046325203092,4.86743487135702e-07,7.99999998851768
"T+272",0.000406719201586617,4.86743487135702e-07,7.99999998851768
"T+273",0.000401463752168019,4.86743487135702e-07,7.99999998851768
"T+274",0.000414797968044116,4.86743487135702e-07,7.99999998851768
"T+275",0.00038743475063734,4.86743487135702e-07,7.99999998851768
"T+276",0.000343430595382295,4.86743487135702e-07,7.99999998851768
"T+277",0.000363165311874371,4.86743487135702e-07,7.99999998851768
"T+278",0.000325662457904225,4.86743487135702e-07,7.99999998851768
"T+279",0.000268666521862216,4.86743487135702e-07,7.99999998851768
"T+280",0.000321893315779841,4.86743487135702e-07,7.99999998851768
"T+281",0.000295634838217142,4.86743487135702e-07,7.99999998851768
"T+282",0.000251674781076624,4.86743487135702e-07,7.99999998851768
"T+283",0.000326165602558981,4.86743487135702e-07,7.99999998851768
"T+284",0.000333284739689938,4.86743487135702e-07,7.99999998851768
"T+285",0.000314361324645268,4.86743487135702e-07,7.99999998851768
"T+286",0.000252319261151019,4.86743487135702e-07,7.99999998851768
"T+287",0.000364791241342502,4.86743487135702e-07,7.99999998851768
