"","location","scale","shape"
"T+319",0.000437675561544794,7.16808248894181e-07,6.57704164006633
"T+320",0.000612671585313972,6.47653045289089e-07,6.61326616293359
"T+321",0.00155784183017085,7.46545196649051e-07,6.65806153142137
"T+322",0.00010710183742045,1.22601843136079e-06,6.70493335189212
"T+323",0.000873702166657908,1.28476586465647e-06,6.74857658385153
"T+324",0.000822214167160508,1.09048070240096e-06,6.78348100921077
"T+325",0.000610910069278048,9.58241417404719e-07,6.81903080048724
"T+326",0.000395655923144333,8.59180333802434e-07,6.85465514401647
"T+327",0.00150410535172234,2.06579704012941e-05,5.64658153908735
"T+328",0.00130511123246284,1.33487690392113e-05,5.68465087910633
"T+329",0.0011503314046769,8.97687479322163e-06,5.72271275338784
"T+330",0.00102965521099852,6.27070865979687e-06,5.76080337466325
"T+331",0.00108974508607697,4.67769372864893e-06,5.79981789087881
"T+332",0.000874569059997521,3.62079976257071e-06,5.83912759858707
"T+333",0.000720276344981763,2.83426791450641e-06,5.87807070817636
"T+334",0.000754440775227066,2.21799807952648e-06,5.91625592942106
"T+335",0.000639168997215156,1.80225586467638e-06,5.95486893839937
"T+336",0.000449300127660065,1.53038439454969e-06,5.99424069316154
"T+337",0.000440416454941791,1.28032086934057e-06,6.03254451989472
"T+338",0.000898334340379083,1.1758082449051e-06,6.07332715964522
"T+339",0.000697251219167255,1.02144817744296e-06,6.11193854794573
"T+340",0.000419521159387429,9.20290077574312e-07,6.15129332591631
"T+341",0.000386201068961919,8.11740447776487e-07,6.18940069182934
"T+342",0.000470290383943948,7.21928935318168e-07,6.22723311189688
"T+343",0.000374005362211186,6.54961732826722e-07,6.26527320917748
"T+344",0.0005893310787837,5.98087958966921e-07,6.3030533406723
"T+345",2.0554241863829e-05,6.02635955864916e-07,6.34412473680694
"T+346",0.000678543450800363,5.8740845010751e-07,6.38391131079318
"T+347",0.000216510375622178,5.71846299990751e-07,6.42342152003773
"T+348",0.000631278091678035,5.37974965978118e-07,6.46125031376276
"T+349",0.000260725859404217,5.17449066606469e-07,6.49959105215842
"T+350",3.32131940486239e-05,4.94075155901154e-07,6.5372554135207
"T+351",0.000562958644131614,4.75375278257914e-07,6.57485233619196
"T+352",-0.00018916060259003,5.08403164792767e-07,6.61641971543994
"T+353",0.000974777651907749,5.80306573474668e-07,6.66022959666697
"T+354",-0.000249292191292549,7.74466077049745e-07,6.70753269895299
"T+355",0.000795468513686555,8.70839763313935e-07,6.7518476285014
"T+356",3.66292904087459e-05,9.55845905788779e-07,6.79563686821288
"T+357",0.000409909561766392,8.50948253654331e-07,6.83106735394667
"T+358",0.00027047005939163,7.6606343449787e-07,6.86617841547698
