"","SYMBOL","DATE","TIME","PRICE","SIZE","G127","CORR","COND","EX"
"2095","AA",20070504,"9:50:02",35.13,800,0,0,"E","P"
"2096","AA",20070504,"9:50:02",35.13,100,0,0,"E","P"
"2097","AA",20070504,"9:50:02",35.13,1000,0,0,"E","P"
"2098","AA",20070504,"9:50:02",35.13,100,0,0,"E","P"
"2099","AA",20070504,"9:50:02",35.13,100,0,0,"F","P"
"2100","AA",20070504,"9:50:02",35.13,100,0,0,"E","P"
"2101","AA",20070504,"9:50:02",35.13,900,0,0,"E","P"
"2102","AA",20070504,"9:50:03",35.13,100,0,0,"F","P"
"2103","AA",20070504,"9:50:03",35.13,400,0,0,"F","P"
"2116","AA",20070504,"9:50:03",35.13,100,0,0,"E","P"
"2119","AA",20070504,"9:50:04",35.14,100,0,0,"E","P"
"2120","AA",20070504,"9:50:04",35.14,100,0,0,"E","P"
"2121","AA",20070504,"9:50:04",35.14,100,0,0,"E","P"
"2122","AA",20070504,"9:50:04",35.14,100,0,0,"E","P"
"2123","AA",20070504,"9:50:04",35.14,100,0,0,"E","P"
"2124","AA",20070504,"9:50:04",35.14,100,0,0,"E","P"
"2130","AA",20070504,"9:50:28",35.15,100,0,0,"E","P"
"2131","AA",20070504,"9:50:28",35.15,100,0,0,"E","P"
"2132","AA",20070504,"9:50:28",35.15,100,0,0,"E","P"
"2192","AA",20070504,"9:51:03",35.16,100,0,0,"E","P"
"2193","AA",20070504,"9:51:03",35.16,100,0,0,"E","P"
"2194","AA",20070504,"9:51:03",35.16,200,0,0,"E","P"
"2203","AA",20070504,"9:51:06",35.18,100,0,0,"E","P"
"2207","AA",20070504,"9:51:07",35.18,100,0,0,"E","P"
"2217","AA",20070504,"9:51:22",35.19,100,0,0,"E","P"
"2229","AA",20070504,"9:51:42",35.17,200,0,0,"E","P"
"2241","AA",20070504,"9:51:55",35.17,100,0,0,"E","P"
"2242","AA",20070504,"9:51:57",35.17,100,0,0,"E","P"
"2243","AA",20070504,"9:51:57",35.17,200,0,0,"E","P"
"2247","AA",20070504,"9:51:57",35.15,100,0,0,"E","P"
"2248","AA",20070504,"9:51:57",35.15,100,0,0,"E","P"
"2256","AA",20070504,"9:51:58",35.16,100,0,0,"E","P"
"2257","AA",20070504,"9:51:58",35.16,100,0,0,"E","P"
"2258","AA",20070504,"9:51:58",35.16,100,0,0,"E","P"
"2260","AA",20070504,"9:51:59",35.16,100,0,0,"E","P"
"2261","AA",20070504,"9:51:59",35.16,100,0,0,"E","P"
"2301","AA",20070504,"9:52:46",35.16,100,0,0,"E","P"
"2302","AA",20070504,"9:52:46",35.16,100,0,0,"E","P"
"2307","AA",20070504,"9:52:53",35.17,100,0,0,"E","P"
"2308","AA",20070504,"9:52:53",35.17,100,0,0,"E","P"
"2309","AA",20070504,"9:52:53",35.17,100,0,0,"E","P"
"2327","AA",20070504,"9:53:25",35.17,100,0,0,"E","P"
"2347","AA",20070504,"9:53:32",35.18,100,0,0,"E","P"
"2348","AA",20070504,"9:53:32",35.18,100,0,0,"E","P"
"2349","AA",20070504,"9:53:32",35.18,100,0,0,"E","P"
"2350","AA",20070504,"9:53:32",35.18,100,0,0,"E","P"
"2351","AA",20070504,"9:53:32",35.18,100,0,0,"E","P"
"2352","AA",20070504,"9:53:33",35.18,100,0,0,"E","P"
"2363","AA",20070504,"9:53:56",35.19,100,0,0,"E","P"
"2364","AA",20070504,"9:53:56",35.19,100,0,0,"E","P"
"2365","AA",20070504,"9:53:56",35.19,100,0,0,"E","P"
"2379","AA",20070504,"9:54:08",35.2,100,0,0,"E","P"
"2380","AA",20070504,"9:54:08",35.2,100,0,0,"E","P"
"2381","AA",20070504,"9:54:08",35.2,100,0,0,"E","P"
"2382","AA",20070504,"9:54:08",35.2,100,0,0,"E","P"
"2383","AA",20070504,"9:54:08",35.2,600,0,0,"E","P"
"2385","AA",20070504,"9:54:20",35.2,200,0,0,"E","P"
"2386","AA",20070504,"9:54:20",35.2,100,0,0,"E","P"
"2395","AA",20070504,"9:54:24",35.18,100,0,0,"E","P"
"2397","AA",20070504,"9:54:24",35.18,100,0,0,"E","P"
"2398","AA",20070504,"9:54:24",35.17,100,0,0,"E","P"
"2399","AA",20070504,"9:54:25",35.17,100,0,0,"E","P"
"2400","AA",20070504,"9:54:25",35.17,100,0,0,"E","P"
"2402","AA",20070504,"9:54:25",35.19,100,0,0,"E","P"
"2403","AA",20070504,"9:54:25",35.19,100,0,0,"E","P"
"2424","AA",20070504,"9:54:36",35.17,100,0,0,"E","P"
"2425","AA",20070504,"9:54:36",35.17,100,0,0,"E","P"
"2426","AA",20070504,"9:54:36",35.17,100,0,0,"E","P"
"2427","AA",20070504,"9:54:36",35.17,100,0,0,"E","P"
"2428","AA",20070504,"9:54:36",35.17,100,0,0,"E","P"
"2429","AA",20070504,"9:54:36",35.17,100,0,0,"E","P"
"2432","AA",20070504,"9:54:37",35.17,100,0,0,"E","P"
"2447","AA",20070504,"9:54:59",35.18,100,0,0,"E","P"
"2448","AA",20070504,"9:54:59",35.18,100,0,0,"E","P"
"2449","AA",20070504,"9:54:59",35.18,100,0,0,"E","P"
"2450","AA",20070504,"9:54:59",35.18,100,0,0,"E","P"
"2464","AA",20070504,"9:55:17",35.18,100,0,0,"E","P"
"2465","AA",20070504,"9:55:17",35.18,100,0,0,"E","P"
"2466","AA",20070504,"9:55:18",35.18,100,0,0,"E","P"
"2483","AA",20070504,"9:55:27",35.18,200,0,0,"E","P"
"2484","AA",20070504,"9:55:27",35.18,300,0,0,"E","P"
"2490","AA",20070504,"9:55:31",35.18,200,0,0,"E","P"
"2491","AA",20070504,"9:55:31",35.18,100,0,0,"E","P"
"2526","AA",20070504,"9:56:27",35.17,200,0,0,"E","P"
"2533","AA",20070504,"9:56:31",35.17,100,0,0,"E","P"
"2534","AA",20070504,"9:56:31",35.17,100,0,0,"E","P"
"2540","AA",20070504,"9:56:34",35.17,100,0,0,"E","P"
"2553","AA",20070504,"9:56:40",35.18,200,0,0,"E","P"
